DE-100;SWB;UBHOH;Stuttgart;Kommunikations-  Informations- und Medienzentrum Hohenheim (KIM)
DE-24;SWB;WLB;Stuttgart;Württembergische Landesbibliothek Stuttgart
DE-Tr2;HBZ;BPS;Trier;Bibliothek des Bischöflichen Priesterseminars Trier
DE-Tr5;HBZ;FHTR;Trier;Hochschule Trier / Bibliothek
DE-385;HBZ;UBTR;Trier;Universitätsbibliothek Trier
DE-Trs1;SWB;MHTRO;Trossingen;Bibliothek der Staatlichen Hochschule für Musik Trossingen
DE-21;SWB;UBTUE;Tübingen;Universitätsbibliothek Tübingen
DE-943;SWB;FHUL;Ulm;Bibliothek der Hochschule Ulm
DE-289;SWB;UBU;Ulm;Universität Ulm / Kommunikations- und Informationszentrum (kiz)
DE-Va1;GBV;UBVE;Vechta;Universitätsbibliothek Vechta
DE-Vil2;SWB;BAVS;Villingen-Schwenningen;Duale Hochschule Baden-Württemberg
DE-1028;BVB;FHWEI;Weihenstephan;Bibliothek der Hochschule Weihenstephan-Triesdorf
DE-32;GBV;HAAB;Weimar;Herzogin Anna Amalia Bibliothek
DE-Wim2;GBV;UBBUW;Weimar;Universitätsbibliothek der Bauhaus-Universität Weimar
DE-747;SWB;HBW;Weingarten;Hochschule Ravensburg-Weingarten
s.o.;;;;Pädagogische Hochschule Weingarten
;;;Wels;FH Oberösterreich Studienbetriebs GmbH
DE-527;GBV;HSH;Wernigerode;Bibliothek der Hochschule Harz in Wernigerode und Halberstadt
AT-AKW;OBV;AKW;Wien;AK Bibliothek Wien für Sozialwissenschaften
;;;Wien;Fachhochschule Technikum Wien Bibliothek
;;;Wien;FernFH Bibliothek
;;;Wien;FH Campus Wien
;;;Wien;Institut für Höhere Studien (IHS) Wien
AT-OeNB;OBV;ONB;Wien;Österreichische Nationalbibliothek
AT-UBABW;OBV;UABK;Wien;Universitätsbibliothek der Akademie der bildenden Künste Wien
AT-UBTUW-HB;OBV;UBTUW;Wien;Universitätsbibliothek der Technischen Universität Wien
AT-UBAW;OBV;UBAKW;Wien;Universitätsbibliothek Universität für angewandte Kunst Wien
AT-UBW-002;OBV;UBWI;Wien;Universitätsbibliothek Wien
;;FHWN;Wiener Neustadt;Fachhochschule Wiener Neustadt für Wirtschaft und Technik
DE-1942;GBV;EBS;Wiesbaden;EBS Universität für Wirtschaft und Recht
DE-43;HeBIS;HLB;Wiesbaden/Rüsselsheim;Hochschul- und Landesbibliothek RheinMain
DE-526;KOBV;TFHW;Wildau;Technische Hochschule Wildau [FH ], Bibliothek
DE-839;GBV;FHWOE;Wilhelmshaven;Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth, Hochschulbibliothek
;;;Winterthur;ZHAW Hochschulbibliothek Winterthur/Zürich/Wädenswil
DE-Wis1;GBV;HSHWI;Wismar;Hochschulbibliothek Wismar
DE-23;GBV;HAB;Wolfenbüttel;Herzog August Bibliothek
DE-916;GBV;FHWF;Wolfenbüttel;Bibliothek der Ostfalia Hochschule für angewandte Wissenschaften
DE-1117;HBZ;FHWO;Worms;Hochschulbibliothek Worms
DE-Ba4;;THZW;Wuppertal;Hochschul- und Landeskirchenbibliothek Wuppertal
DE-468;HBZ;UBWUP;Wuppertal;Universitätsbibliothek Wuppertal
DE-20;BVB;UBW;Würzburg;Universitätsbibliothek Würzburg
DE-863;BVB;FHBWS;Würzburg-Schweinfurt;Hochschulbibliothek Würzburg-Schweinfurt
DE-Zi4;SWB;HZG;Zittau/Görlitz;Hochschulbibliothek der Hochschule Zittau/Görlitz
;;;Zollikofen;Bibliotheken EHB (Standorte Lausanne, Lugano und Zollikofen)
